label,success,failure_modes,vertical_touchdown_velocity_mps,horizontal_touchdown_velocity_mps,landing_position_error_m,tilt_angle_deg,angular_rate_norm_radps
baseline,False,hard_touchdown,-10.944352903477505,0.0704301342525781,0.15568399827253973,0.2448164324569013,0.003761813299348876
vertical_residual,False,hard_touchdown,-11.814884128859921,0.08497064094406925,0.15787163121606287,0.2741077934795642,0.004111906446576732
refined_throttle,False,hard_touchdown,-11.195464533981495,0.06952068402385783,0.1533608970790296,0.24672530846118335,0.00379935577258203
