controller_id,controller_label,controller_type,disturbance_level,disturbance_index,episode_count,success_count,success_rate,landing_position_error_m_mean,landing_position_error_m_median,landing_position_error_m_std,vertical_touchdown_velocity_mps_mean,vertical_touchdown_velocity_mps_median,vertical_touchdown_velocity_mps_std,tilt_angle_deg_mean,tilt_angle_deg_median,tilt_angle_deg_std,fuel_used_kg_mean,fuel_used_kg_median,fuel_used_kg_std,landing_position_error_m_p10,landing_position_error_m_p90,vertical_touchdown_velocity_mps_p10,vertical_touchdown_velocity_mps_p90,fuel_used_kg_p10,fuel_used_kg_p90
phase1_lqr,Phase 1 LQR,gain_scheduled_lqr,level_0,0,500,500,1.0,0.0577872902027597,0.057763830404320524,0.0003133230857571105,-0.6394894205174094,-0.6394958962693656,9.049705326697933e-05,0.11331911473013044,0.11327324910660089,0.0005684612600753897,49.19306087576322,49.19288249879696,0.0056464496917579795,0.05738074809453592,0.058246868972748604,-0.6395990401069623,-0.6393577222383413,49.18627245411062,49.2006980337203
phase1_lqr,Phase 1 LQR,gain_scheduled_lqr,level_1,1,500,500,1.0,0.03852082691739868,0.03844357871201826,0.000708783146087073,-0.6392761944172372,-0.6392792411310458,0.00010143694754067674,0.10999073716311901,0.10996807248690355,0.000528152449342922,49.199120646984674,49.19862850208892,0.006279500230526721,0.03766890837751244,0.039399831604436115,-0.6394055454711858,-0.6391396782036046,49.190908153981944,49.20813114346697
phase1_lqr,Phase 1 LQR,gain_scheduled_lqr,level_2,2,500,500,1.0,0.026312157369835016,0.026321982931141675,0.002368523368066609,-0.6389718921925219,-0.6389708300094359,0.00011496088055232192,0.08597442853216074,0.08595176785789901,0.0004983551141789156,49.20201587475398,49.201733684351666,0.007165414143059039,0.0233372143755529,0.02911838788238662,-0.6391165010707257,-0.6388303256609997,49.19250264647078,49.21160653900044
phase1_lqr,Phase 1 LQR,gain_scheduled_lqr,level_3,3,500,500,1.0,0.05867762351924146,0.05857710180027188,0.0010964177608860995,-0.6382727449101797,-0.6382721289056206,0.00016943707939584847,0.04925071160568333,0.049281889247045144,0.0014317128812309425,49.22881591112415,49.22846903504865,0.01013823459702573,0.05725681082066157,0.06010246478568285,-0.638487224329278,-0.6380383907286064,49.21546208907557,49.242986707007915
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_0,0,500,0,0.0,17.776885751480062,17.70808817815694,1.4677128475389412,-26.3037382319936,-26.30157690689209,0.020313376514404118,6.712108460549948,6.701425839453735,0.6233633967414524,19.704702913461535,19.71260649568285,0.03664344049300047,15.94963983773716,19.56688647086664,-26.332731940398116,-26.27695752978086,19.69952354586003,19.722974806441698
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_1,1,500,0,0.0,6.973240004330661,6.910615615924988,1.4526518156912616,-26.269073088902825,-26.269279288970743,0.02861638245526067,9.142688979436,9.107692530338992,0.9676802012933863,19.662915704040362,19.662818598014837,0.007255082960660866,5.08769039277821,8.76530618448032,-26.303668547518363,-26.235134397474418,19.653934985651222,19.671754952738343
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_2,2,500,0,0.0,8.600031369921792,8.585920264845692,1.3580617736583904,-28.04821952129463,-28.046469354045357,0.08727975891388356,25.190331864992835,25.20745925953422,0.8581134636249449,19.272353084076165,19.2720002920895,0.004519639930339947,6.936581549181041,10.35320739838564,-28.15498570736709,-27.938597991209228,19.266598411647465,19.27810878454693
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_3,3,500,0,0.0,23.072377029979958,22.905356938020283,0.8858612298169246,-34.621150754146434,-34.59368846046352,0.1549816236847792,59.990134393138575,60.0010169889021,0.5020030886627346,18.092453669601525,18.07031988743836,0.06143956634781673,22.012555733516173,24.524689959771916,-34.837998595241224,-34.438644322883924,18.06807199400314,18.249039979319377
phase2b_hierarchical_ppo,Phase 2B Hierarchical PPO,hierarchical_ppo,level_0,0,500,0,0.0,13.087671321390719,13.05711820575377,0.8919131622303105,-8.434154206822107,-8.365549838327599,0.5842528375436745,8.199319927675745,7.8233816437472115,3.0053819860765096,43.94040051692349,43.962393549084254,0.5570067872400309,12.003008583586825,14.296938684264347,-9.199231809179054,-7.732083733694991,43.26353165956759,44.656182284871875
phase2b_hierarchical_ppo,Phase 2B Hierarchical PPO,hierarchical_ppo,level_1,1,500,0,0.0,29.645612322726215,29.770648331226337,1.2395298148643492,-11.175158219152094,-11.145248813809813,0.5493330906449294,25.75799798800628,25.692108118511058,1.279875477148452,41.06211025877564,41.179896796909816,0.4535149568491518,28.08074335213135,31.16137900807975,-11.809240643685646,-10.582816186575375,40.48521080833825,41.64519164290309
