label,success,failure_modes,vertical_touchdown_velocity_mps,horizontal_touchdown_velocity_mps,landing_position_error_m,tilt_angle_deg,angular_rate_norm_radps
overspeed_assist_v3_baseline,False,hard_touchdown,-4.438318963682279,0.04866983497624247,0.12409296951631166,0.08854642675978555,0.001990124365436402
overspeed_assist_sweep_late_extra,False,hard_touchdown,-4.315044132315271,0.04847444110112999,0.12420233122647888,0.08811204990666106,0.002011337864651948
overspeed_assist_sweep_earlier_subzone,False,hard_touchdown,-4.2630345536657055,0.04870281430497958,0.12126235371432138,0.08732830005690002,0.0020147799992194975
overspeed_assist_sweep_aggressive,False,hard_touchdown,-4.462717947852923,0.04445022553202292,0.12619814344757585,0.09054382702405712,0.0021059542824243753
