label,gate_altitude_m,trigger_mps,max_delta,late_stage_altitude_m,late_stage_extra_delta,brake_floor_altitude_m,brake_floor_base_throttle,brake_floor_max_throttle,eligible,success,failure_modes,termination_reason,vertical_touchdown_velocity_mps,horizontal_touchdown_velocity_mps,landing_position_error_m,tilt_angle_deg,angular_rate_norm_radps,train_dir,eval_dir
late_stage_altitude_m_minus,22.0,0.25,0.16,3.5,0.1,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.800531673796715,0.043969597021870324,0.017340542352916936,0.09301092800657448,0.0022514739587566933,outputs/phase2c_hybrid_rl/search_brake_prior_dryrun_v1/round_01/late_stage_altitude_m_minus/train,outputs/phase2c_hybrid_rl/search_brake_prior_dryrun_v1/round_01/late_stage_altitude_m_minus/eval
late_stage_altitude_m_plus,22.0,0.25,0.16,4.5,0.1,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.710834778812672,0.0439112095991637,0.01741620508631037,0.09159489896323672,0.002245916024175828,outputs/phase2c_hybrid_rl/search_brake_prior_dryrun_v1/round_01/late_stage_altitude_m_plus/train,outputs/phase2c_hybrid_rl/search_brake_prior_dryrun_v1/round_01/late_stage_altitude_m_plus/eval
late_stage_extra_delta_minus,22.0,0.25,0.16,4.0,0.08,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.848895315156424,0.04407442790970789,0.017332371137461076,0.09334491935039711,0.0022208777368123217,outputs/phase2c_hybrid_rl/search_brake_prior_dryrun_v1/round_01/late_stage_extra_delta_minus/train,outputs/phase2c_hybrid_rl/search_brake_prior_dryrun_v1/round_01/late_stage_extra_delta_minus/eval
late_stage_extra_delta_plus,22.0,0.25,0.16,4.0,0.12000000000000001,5.0,0.88,0.98,True,False,hard_touchdown,touchdown,-4.688984222090756,0.043853135219417264,0.017417544879072912,0.09139835714368306,0.002262524108144299,outputs/phase2c_hybrid_rl/search_brake_prior_dryrun_v1/round_01/late_stage_extra_delta_plus/train,outputs/phase2c_hybrid_rl/search_brake_prior_dryrun_v1/round_01/late_stage_extra_delta_plus/eval
