label,success,failure_modes,vertical_touchdown_velocity_mps,horizontal_touchdown_velocity_mps,landing_position_error_m,tilt_angle_deg,angular_rate_norm_radps
overspeed_assist_focus_baseline,False,hard_touchdown,-4.2630345536657055,0.04870281430497958,0.12126235371432138,0.08732830005690002,0.0020147799992194975
overspeed_assist_focus_higher_extra,False,hard_touchdown,-4.168492311257423,0.04856423911345107,0.12138092366568934,0.08681907489121546,0.002027460069620925
overspeed_assist_focus_higher_subzone,False,hard_touchdown,-4.219211068947784,0.0486443890876184,0.12139940385273987,0.08695369126807356,0.002016283604707792
overspeed_assist_focus_blended,False,hard_touchdown,-4.113545932795983,0.048505168939380776,0.1214814363546394,0.08636230438211524,0.002028383481658012
