controller_id,controller_label,controller_type,disturbance_level,disturbance_index,episode_count,success_count,success_rate,landing_position_error_m_mean,landing_position_error_m_median,landing_position_error_m_std,vertical_touchdown_velocity_mps_mean,vertical_touchdown_velocity_mps_median,vertical_touchdown_velocity_mps_std,tilt_angle_deg_mean,tilt_angle_deg_median,tilt_angle_deg_std,fuel_used_kg_mean,fuel_used_kg_median,fuel_used_kg_std,landing_position_error_m_p10,landing_position_error_m_p90,vertical_touchdown_velocity_mps_p10,vertical_touchdown_velocity_mps_p90,fuel_used_kg_p10,fuel_used_kg_p90
phase1_lqr,Phase 1 LQR,gain_scheduled_lqr,level_0,0,1,1,1.0,0.05773159300230554,0.05773159300230554,0.0,-0.6394244227685887,-0.6394244227685887,0.0,0.11290676797046975,0.11290676797046975,0.0,49.20065214365036,49.20065214365036,0.0,0.05773159300230554,0.05773159300230554,-0.6394244227685887,-0.6394244227685887,49.20065214365036,49.20065214365036
phase1_lqr,Phase 1 LQR,gain_scheduled_lqr,level_1,1,1,1,1.0,0.038108949740677245,0.038108949740677245,0.0,-0.6393739770077068,-0.6393739770077068,0.0,0.10932880286039284,0.10932880286039284,0.0,49.1926459634617,49.1926459634617,0.0,0.038108949740677245,0.038108949740677245,-0.6393739770077068,-0.6393739770077068,49.1926459634617,49.1926459634617
phase1_lqr,Phase 1 LQR,gain_scheduled_lqr,level_2,2,1,1,1.0,0.025933549352241708,0.025933549352241708,0.0,-0.6390996234585914,-0.6390996234585914,0.0,0.08540109718354971,0.08540109718354971,0.0,49.19385214610179,49.19385214610179,0.0,0.025933549352241708,0.025933549352241708,-0.6390996234585914,-0.6390996234585914,49.19385214610179,49.19385214610179
phase1_lqr,Phase 1 LQR,gain_scheduled_lqr,level_3,3,1,1,1.0,0.05927695290434576,0.05927695290434576,0.0,-0.6380194987316988,-0.6380194987316988,0.0,0.04867230660784041,0.04867230660784041,0.0,49.246207861122,49.246207861122,0.0,0.05927695290434576,0.05927695290434576,-0.6380194987316988,-0.6380194987316988,49.246207861122,49.246207861122
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_0,0,1,0,0.0,16.38299855396802,16.38299855396802,0.0,-26.29221398168641,-26.29221398168641,0.0,7.5536958995540155,7.5536958995540155,0.0,19.705971486744602,19.705971486744602,0.0,16.38299855396802,16.38299855396802,-26.29221398168641,-26.29221398168641,19.705971486744602,19.705971486744602
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_1,1,1,0,0.0,4.761636915846671,4.761636915846671,0.0,-26.310051776683455,-26.310051776683455,0.0,8.306361065172975,8.306361065172975,0.0,19.651484323830573,19.651484323830573,0.0,4.761636915846671,4.761636915846671,-26.310051776683455,-26.310051776683455,19.651484323830573,19.651484323830573
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_2,2,1,0,0.0,10.62596376973324,10.62596376973324,0.0,-28.2039467409472,-28.2039467409472,0.0,24.597172905252425,24.597172905252425,0.0,19.266707673184555,19.266707673184555,0.0,10.62596376973324,10.62596376973324,-28.2039467409472,-28.2039467409472,19.266707673184555,19.266707673184555
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_3,3,1,0,0.0,23.72560459830681,23.72560459830681,0.0,-34.76322258724344,-34.76322258724344,0.0,60.03938576126883,60.03938576126883,0.0,18.069596567259396,18.069596567259396,0.0,23.72560459830681,23.72560459830681,-34.76322258724344,-34.76322258724344,18.069596567259396,18.069596567259396
phase2b_hierarchical_ppo,Phase 2B Hierarchical PPO,hierarchical_ppo,level_0,0,1,0,0.0,11.259926584872236,11.259926584872236,0.0,-8.503094217525007,-8.503094217525007,0.0,9.670347327449345,9.670347327449345,0.0,43.963651512031674,43.963651512031674,0.0,11.259926584872236,11.259926584872236,-8.503094217525007,-8.503094217525007,43.963651512031674,43.963651512031674
phase2b_hierarchical_ppo,Phase 2B Hierarchical PPO,hierarchical_ppo,level_1,1,1,0,0.0,27.718267098189855,27.718267098189855,0.0,-11.171634754084941,-11.171634754084941,0.0,23.537485322225983,23.537485322225983,0.0,40.95153047547274,40.95153047547274,0.0,27.718267098189855,27.718267098189855,-11.171634754084941,-11.171634754084941,40.95153047547274,40.95153047547274
phase2b_hierarchical_ppo,Phase 2B Hierarchical PPO,hierarchical_ppo,level_2,2,1,0,0.0,64.99381156717322,64.99381156717322,0.0,-16.70483084237567,-16.70483084237567,0.0,32.716052166382326,32.716052166382326,0.0,34.69718513905286,34.69718513905286,0.0,64.99381156717322,64.99381156717322,-16.70483084237567,-16.70483084237567,34.69718513905286,34.69718513905286
phase2b_hierarchical_ppo,Phase 2B Hierarchical PPO,hierarchical_ppo,level_3,3,1,0,0.0,65.42914217385034,65.42914217385034,0.0,-32.181562166593565,-32.181562166593565,0.0,48.46119035686376,48.46119035686376,0.0,27.24621034794177,27.24621034794177,0.0,65.42914217385034,65.42914217385034,-32.181562166593565,-32.181562166593565,27.24621034794177,27.24621034794177
phase2c_hybrid_ppo,Phase 2C Hybrid PPO,hybrid_residual_ppo,level_0,0,1,1,1.0,0.05715670005551068,0.05715670005551068,0.0,-1.7713000402190533,-1.7713000402190533,0.0,0.08116966794642715,0.08116966794642715,0.0,47.749036541883925,47.749036541883925,0.0,0.05715670005551068,0.05715670005551068,-1.7713000402190533,-1.7713000402190533,47.749036541883925,47.749036541883925
phase2c_hybrid_ppo,Phase 2C Hybrid PPO,hybrid_residual_ppo,level_1,1,1,1,1.0,0.03948270527978135,0.03948270527978135,0.0,-1.7584998547653168,-1.7584998547653168,0.0,0.0756016320720013,0.0756016320720013,0.0,47.57195277100618,47.57195277100618,0.0,0.03948270527978135,0.03948270527978135,-1.7584998547653168,-1.7584998547653168,47.57195277100618,47.57195277100618
phase2c_hybrid_ppo,Phase 2C Hybrid PPO,hybrid_residual_ppo,level_2,2,1,1,1.0,0.02879244707075225,0.02879244707075225,0.0,-1.9885011552964085,-1.9885011552964085,0.0,0.059324708918602864,0.059324708918602864,0.0,46.8873738788684,46.8873738788684,0.0,0.02879244707075225,0.02879244707075225,-1.9885011552964085,-1.9885011552964085,46.8873738788684,46.8873738788684
phase2c_hybrid_ppo,Phase 2C Hybrid PPO,hybrid_residual_ppo,level_3,3,1,0,0.0,0.04502987451260224,0.04502987451260224,0.0,-2.671719611288545,-2.671719611288545,0.0,0.05171773318934248,0.05171773318934248,0.0,45.259270137063595,45.259270137063595,0.0,0.04502987451260224,0.04502987451260224,-2.671719611288545,-2.671719611288545,45.259270137063595,45.259270137063595
