time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,p_radps,q_radps,r_radps,mass_kg,throttle,gimbal_pitch_rad,gimbal_yaw_rad,dynamic_pressure_pa
0.0,12.0,-8.0,120.0,-1.0,0.6,-18.0,0.999011461133737,0.03487207852388615,-0.02615405889291461,0.008718019630971538,1.8452300362238613e-05,0.004481183062627048,-0.0041120678304332635,1250.0,0.3836570882073617,-0.03740116868401349,0.001067619191860207,200.69068765720968
0.05,11.94940372479663,-7.970511193138298,119.09492710958322,-1.0242917082203309,0.5793699932596745,-18.199592282838083,0.9990224963895314,0.034869311862150525,-0.025762753361988633,0.008629214164581834,-7.412992676206257e-05,0.027207510105236365,-0.004078820542230874,1249.8719573850356,0.41136890189282915,-0.04133426656862341,0.0022068984328974806,205.15412201436627
0.1,11.897525060126881,-7.942080451494883,118.18036455431366,-1.0513363465327066,0.557690803313137,-18.37975460592767,0.9990487249236373,0.03486725579921044,-0.02475062954042332,0.008563062468528611,0.000513691339806587,0.054437341399628345,-0.004045150198715871,1249.7352109526937,0.4377259707148762,-0.047173039748194576,0.003263422021866927,209.2434640409717
0.15000000000000002,11.844219155181232,-7.914758515469811,117.25725886884905,-1.0814472157093062,0.5350253131761536,-18.541481279486884,0.9990907346807409,0.03488200860317395,-0.022984344493311337,0.008524626626333793,0.0017957133267696573,0.08792948003597204,-0.004011130924950333,1249.5901868539593,0.4627908156223368,-0.05554625255815654,0.004204105907515632,212.96974080400275
0.2,11.789321182096172,-7.888593866005942,116.3265074187362,-1.1151224594400209,0.5114010624669029,-18.685746754953197,0.9991477209823809,0.034929028232253745,-0.02027786176788783,0.00852073732651002,0.0037488416739614285,0.13018247410398162,-0.003976832972227288,1249.437291256052,0.48662518036273794,-0.06733840514559862,0.005008620737593061,216.34622986990522
0.25,11.732635014442153,-7.863634465661729,115.38895904481774,-1.1531334372432474,0.4868116598698534,-18.81352077047564,0.9992157824529726,0.03502204760895152,-0.01637041174274667,0.008560718284285162,0.006320351281389192,0.18473683629191423,-0.003942322359657651,1249.2769104252993,0.5092911644722772,-0.08379407057093931,0.005669232622787464,219.388936323352
0.30000000000000004,11.67391661061095,-7.839929375727962,114.44541372652631,-1.1966503950352194,0.461220297460897,-18.92579351852378,0.9992843767375691,0.03517205736951147,-0.010895383955106383,0.008657447491890033,0.009437122388563916,0.25660706133382793,-0.003907660443701248,1249.109410333611,0.5308531313944502,-0.1066664483539568,0.006189889797192018,222.11750758808887
0.35000000000000003,11.612849864406321,-7.817530146508803,113.49662056259449,-1.2474211711125387,0.4345653518267972,-19.02361984982103,0.9993291395412359,0.03538629703057954,-0.003336363688158764,0.008828902739113723,0.013015887368665763,0.3528937623976647,-0.003872903331978471,1248.9351354396329,0.5513810854706173,-0.13842761811790355,0.006584890593607284,224.55688838259152
0.4,11.549138427720498,-7.796490902298384,112.54329084889758,-1.3000516049611874,0.4068286399007239,-19.107062269998703,0.9992984472784132,0.03566830092591239,0.006903155863472801,0.009095714108070684,0.016972940665169318,0.46702404527242425,-0.0038381036357828502,1248.7544148666022,0.5708701520297518,-0.13962634015954636,0.006871486868949742,226.68612840496212
0.45,11.48297627870681,-7.776865176863143,111.58616098695342,-1.3448512096726133,0.378017833629396,-19.17572124795249,0.9991052243150143,0.03602171767971819,0.020040048425908293,0.009464832852985171,0.021227987594269363,0.5846572000234773,-0.0038033198496239514,1248.567593163761,0.589280063330063,-0.13962634015954636,0.007064032691338304,228.45748606374
