time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,p_radps,q_radps,r_radps,mass_kg,throttle,gimbal_pitch_rad,gimbal_yaw_rad,tilt_deg,dynamic_pressure_pa
0.0,30.0,-20.0,130.0,-1.5,1.0,-22.0,0.999011461133737,0.03487207852388615,-0.02615405889291461,0.008718019630971538,1.8452300362238613e-05,0.004481183062627048,-0.0041120678304332635,1325.0,0.17187840277777766,0.13962634015954636,-0.13962634015954636,4.996640508364582,332.2370382859269
0.02,29.970061272353043,-19.980106708326176,129.55852870518746,-1.4938718626521716,0.9893303860139568,-22.14712182430717,0.9990137790988904,0.034796399912068156,-0.02618091332509371,0.008674070623245284,-0.015426421405277392,-0.010002638447217101,-0.004090137837924091,1324.9778617628137,0.17186634155868308,0.13962634015954636,-0.13962634015954636,4.991550232847277,336.1864230832086
0.04,29.9402451160658,-19.960426690516584,129.11411544933236,-1.4877451360774696,0.9786748760206433,-22.2941953047372,0.9990176304241714,0.034567838720037554,-0.026353602173912978,0.0086212690689055,-0.030837661261066476,-0.024445026136433484,-0.00406806688430312,1324.9557250791336,0.17185428118596024,0.13962634015954636,-0.13962634015954636,4.982610480915384,340.1617926412055
0.06,29.910551366743178,-19.940959528828593,128.6667612471541,-1.481633431049332,0.968047032211687,-22.441215664612567,0.9990228332770607,0.03418672296366205,-0.026671689755345212,0.008559645417585048,-0.04621363662666103,-0.03884437529408002,-0.004045856838592241,1324.9335899488503,0.17184222165954954,0.13962634015954636,-0.13962634015954636,4.97027663412263,344.16315884764015
0.08,29.880979588202994,-19.921704534507672,128.21646720837322,-1.4755503156472127,0.9574603942390104,-22.588178184589275,0.999029073194967,0.03365339260947046,-0.027134720435335595,0.00848922988111216,-0.06155268059880922,-0.05319904870294268,-0.00402350961310958,1324.9114563718551,0.1718301629793918,0.13962634015954636,-0.13962634015954636,4.95535194009046,348.1905304096113
0.1,29.851529073321643,-19.902660748199523,127.76323453631981,-1.4695093160551322,0.9469284830524476,-22.735078227106385,0.9990359043225975,0.03296820022206808,-0.027742218118264005,0.008410052456812948,-0.07685309041766356,-0.0675073770831146,-0.004001027163282566,1324.8893243480388,0.1718181051454274,0.13962634015954636,-0.13962634015954636,4.938993151553546,352.2439136110029
0.12,29.822198844865294,-19.88382694028729,127.30706452605523,-1.4635239172030143,0.9364648045475782,-22.881911260631732,0.999042750721976,0.03213151170775245,-0.028493685648959974,0.008322142956033764,-0.09211312790485161,-0.08176765956451537,-0.003978411487386448,1324.8671938772925,0.17180604815759715,0.13962634015954636,-0.13962634015954636,4.922716705537089,356.3233130924026
0.14,29.792987656310146,-19.86520161115803,126.84795856201063,-1.457607563215461,0.9260828529867715,-23.028672883700704,0.9990489077573845,0.031143707151923886,-0.029388604130837458,0.008225531037750497,-0.10733101993590312,-0.09597816419069188,-0.003955664626208677,1324.8450649595072,0.17179399201584167,0.13962634015954636,-0.13962634015954636,4.908402547409103,360.42873265269367
0.16,29.763893992655895,-19.84678299140334,126.38591811514706,-1.4517736576334366,0.915796114157086,-23.175358848743812,0.9990535435576063,0.030005181747707232,-0.030426432162890555,0.008120246247123498,-0.12250495894974991,-0.11013712845634975,-0.003932788662639751,1324.822937594574,0.17178193672010145,0.13962634015954636,-0.13962634015954636,4.898291636001294,364.56017607145145
0.18,29.734916071237354,-19.82856904195972,125.92094473964107,-1.4460355633752033,0.905618068229356,-23.321965085697574,0.9990557005579449,0.028716346813017296,-0.03160660499846895,0.008006318058848116,-0.13763310349812635,-0.12424275988116305,-0.003909785721191306,1324.8008117823836,0.1717698822703172,0.13962634015954636,-0.13962634015954636,4.894972159423713,368.71764795125
0.2,29.7060518425397,-19.810557454195088,125.45304006910034,-1.440406602403774,0.8955621922835266,-23.468487725391842,0.9990542971245705,0.027277630893112262,-0.03292853362893312,0.007883775925141922,-0.15271357883780035,-0.1382932366225026,-0.0038866579674424113,1324.7786875228273,0.17175782866642963,0.13962634015954636,-0.13962634015954636,4.901348842345608,372.90115457894825
0.22,29.677298991023598,-19.792745649948355,124.98220581231382,-1.4349000550691233,0.8856419624660653,-23.614923122705225,0.999048129263811,0.025689480945485774,-0.034391603795473936,0.007752649328200463,-0.16774447756865785,-0.15228670812980424,-0.003863407607415198,1324.7565648157963,0.17174577590837936,0.13962634015954636,-0.13962634015954636,4.920589890143524,377.1107048049826
0.24,29.64865493596698,-19.77513078152986,124.50844374854128,-1.429529159094436,0.8758708557460998,-23.761267879478684,0.9990358724190445,0.023952363603750734,-0.03599517493256801,0.0076129678369439065,-0.1827238603207477,-0.16622129584337225,-0.0038400368868811356,1324.7344436611816,0.17173372399610698,0.13962634015954636,-0.13962634015954636,4.956047634978122,381.34631093964816
0.26,29.620116832330908,-19.757709731690934,124.031755722347,-1.4243071081767678,0.8662623512378054,-23.90751886717564,0.9990160833578837,0.022066766516966096,-0.03773857904672987,0.007464761167867289,-0.19764975649346533,-0.18009509394047452,-0.003816548090599429,1324.712324058874,0.17172167292955298,0.13962634015954636,-0.13962634015954636,5.011152243213565,385.6079896653015
0.28,29.59168157165751,-19.740479113571624,123.5521436379829,-1.4192470501736612,0.8568299310574925,-24.053673249275153,0.9989872021523554,0.020033199760652803,-0.03962111953441321,0.007308059249797145,-0.2125201650501151,-0.19390617013163805,-0.003792943541489199,1324.6902060087648,0.17170962270865842,0.13962634015954636,-0.13962634015954636,5.089282873483569,389.89576296335076
0.3,29.563345783008568,-19.72343527063619,123.06960945332665,-1.4143620848484866,0.847587080684845,-24.199728503382854,0.998947554254757,0.01785219731553676,-0.041642069943105285,0.007142892292347203,-0.22733305537113926,-0.20765256651009245,-0.0037692255997372566,1324.668089510745,0.17169757333336355,0.13962634015954636,-0.13962634015954636,5.193626606577354,394.20965905485764
0.32,29.53510583395382,-19.70657427660658,122.58415517338057,-1.4096652611485965,0.838547288798822,-24.345682443042353,0.9988953526718558,0.01552431860984628,-0.043800672679851854,0.006969290857855587,-0.2420863681693364,-0.22133230045733535,-0.0037453966618434696,1324.6459745647057,0.17168552480360944,0.13962634015954636,-0.13962634015954636,5.327040611198963,398.5497133534831
0.34,29.506957831618575,-19.689891935404674,122.0957828433373,-1.4048549104358943,0.8288564929363786,-24.486697056467598,0.9988287002400348,0.013050150120779307,-0.04609613767164238,0.006787285936575605,-0.2584310827964512,-0.23659643193384566,-0.0037214591596058657,1324.6215277325293,0.27082427706434187,0.13962634015954636,-0.13962634015954636,5.491935289741742,402.7668695954362
0.36,29.478936781392125,-19.673493680535785,121.60511370726,-1.396598726829893,0.8089551977747831,-24.568227325843385,0.9987415535786746,0.010325443173134193,-0.048633913772858674,0.006590660791462035,-0.2949696559670523,-0.2720501646065944,-0.003697472148436333,1324.5684510673643,0.5297348939187256,0.13962634015954636,-0.13962634015954636,5.699604621614052,405.1728536846749
0.38,29.451109445889585,-19.657588742330034,121.11340228945005,-1.3859026095681342,0.7805042456920364,-24.59580114994313,0.9986206036345331,0.007139313817270027,-0.0516273477480625,0.006366879873205091,-0.34971333684516553,-0.3257101590025316,-0.0036735512111762364,1324.4894748326424,0.6825586646712702,0.13962634015954636,-0.13962634015954636,5.975063582107758,405.9299127499447
0.4,29.423503515424898,-19.64229953395246,120.62148842352059,-1.3747242475726673,0.7479793773910994,-24.591364391497816,0.9984500488408906,0.0033520410920683326,-0.05521738860855967,0.006107682489433835,-0.4150904203001591,-0.3900082544645717,-0.0036497717316256676,1324.3952336055413,0.7724439212729073,0.13962634015954636,-0.13962634015954636,6.34233264125271,405.7186968506168
