label,success,failure_modes,vertical_touchdown_velocity_mps,horizontal_touchdown_velocity_mps,landing_position_error_m,tilt_angle_deg,angular_rate_norm_radps
vertical_focus,False,hard_touchdown,-8.226327057410238,0.05502320657839077,0.09320916181283877,0.14190968813681523,0.002454685072662789
overspeed_assist_v1,False,hard_touchdown,-7.519762894705131,0.05314940951161537,0.07305103189404862,0.1304366977301012,0.002528159146126268
overspeed_assist_v2,False,hard_touchdown,-4.871631584846534,0.049929700055976266,0.12030201588783777,0.0921735112304865,0.0020053125825211992
