controller_id,controller_label,controller_type,disturbance_level,disturbance_index,episode_index,episode_seed,wind_x_mps,wind_y_mps,wind_z_mps,gust_x_mps,gust_y_mps,gust_z_mps,misalignment_pitch_deg,misalignment_yaw_deg,success,landing_position_error_m,vertical_touchdown_velocity_mps,horizontal_touchdown_velocity_mps,touchdown_speed_mps,tilt_angle_deg,angular_rate_norm_radps,fuel_used_kg,termination_reason,failure_modes,touchdown_detected,duration_s
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_1,1,1,31829,2.0,0.0,0.0,0.5,0.25,0.0,0.2,-0.2,False,7.552272147317765,-26.290577836434927,3.0609677996704074,26.468169691995374,10.174342204464208,0.04441942360341162,19.664990841247118,touchdown,hard_touchdown;horizontal_speed;lateral_miss;tilt_over,True,5.45
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_1,1,2,31855,2.0,0.0,0.0,0.5,0.25,0.0,0.2,-0.2,False,7.154248356118009,-26.27082136498375,2.8809736098983483,26.42831935882071,9.704225064546423,0.034292290054743574,19.66422097752934,touchdown,hard_touchdown;horizontal_speed;lateral_miss,True,5.45
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_2,2,0,31827,5.0,0.0,0.0,1.0,0.5,0.0,0.5,-0.5,False,10.62596376973324,-28.2039467409472,11.845571875653373,30.59052442877461,24.597172905252425,0.14225872085155694,19.266707673184555,touchdown,hard_touchdown;horizontal_speed;lateral_miss;tilt_over,True,5.3500000000000005
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_2,2,1,31853,5.0,0.0,0.0,1.0,0.5,0.0,0.5,-0.5,False,11.115440773020131,-28.23534091419531,11.944530112012648,30.65789092774662,24.664468998034373,0.14636546019022653,19.267129668701273,touchdown,hard_touchdown;horizontal_speed;lateral_miss;tilt_over,True,5.3500000000000005
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_2,2,2,31879,5.0,0.0,0.0,1.0,0.5,0.0,0.5,-0.5,False,8.357014347646267,-28.051455472647962,11.188783252138654,30.200546763217545,25.69270287446819,0.11714380031445155,19.27379400924133,touchdown,hard_touchdown;horizontal_speed;lateral_miss;tilt_over,True,5.3500000000000005
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_3,3,0,31851,8.0,0.0,0.0,1.5,0.75,0.0,1.0,-1.0,False,23.72560459830681,-34.76322258724344,21.08412668963707,40.657373782807205,60.03938576126883,0.19377368010120988,18.069596567259396,touchdown,hard_touchdown;horizontal_speed;lateral_miss;tilt_over,True,5.0
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_3,3,1,31877,8.0,0.0,0.0,1.5,0.75,0.0,1.0,-1.0,False,24.81958147889171,-34.9879060538176,21.41475272455067,41.02127745797804,59.77701618736205,0.21327793707528803,18.070523927171735,touchdown,hard_touchdown;horizontal_speed;lateral_miss;tilt_over,True,5.0
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_3,3,2,31903,8.0,0.0,0.0,1.5,0.75,0.0,1.0,-1.0,False,22.203687791970758,-34.433640112038226,20.60793208744853,40.129321403261464,60.14243305677033,0.1747198881414028,18.06923827379137,touchdown,hard_touchdown;horizontal_speed;lateral_miss;tilt_over,True,5.0
phase2b_hierarchical_ppo,Phase 2B Hierarchical PPO,hierarchical_ppo,level_0,0,0,55554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11.259926584872236,-8.503094217525007,7.6229225682938955,11.419788078345045,9.670347327449345,0.2009303459564804,43.963651512031674,touchdown,hard_touchdown;horizontal_speed;lateral_miss,True,9.15
phase2b_hierarchical_ppo,Phase 2B Hierarchical PPO,hierarchical_ppo,level_0,0,1,55588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.989266609773292,-8.220260198554545,6.682562444197364,10.593833987397435,9.090010478464826,0.16164517637715406,44.19424119175255,touchdown,hard_touchdown;horizontal_speed;lateral_miss,True,9.200000000000001
