controller_id,controller_label,controller_type,disturbance_level,disturbance_index,episode_count,success_count,success_rate,landing_position_error_m_mean,landing_position_error_m_median,landing_position_error_m_std,vertical_touchdown_velocity_mps_mean,vertical_touchdown_velocity_mps_median,vertical_touchdown_velocity_mps_std,tilt_angle_deg_mean,tilt_angle_deg_median,tilt_angle_deg_std,fuel_used_kg_mean,fuel_used_kg_median,fuel_used_kg_std,landing_position_error_m_p10,landing_position_error_m_p90,vertical_touchdown_velocity_mps_p10,vertical_touchdown_velocity_mps_p90,fuel_used_kg_p10,fuel_used_kg_p90
phase1_lqr,Phase 1 LQR,gain_scheduled_lqr,level_0,0,3,3,1.0,0.057962148596303026,0.05807284988056952,0.00016307024235266988,-0.6394510506961126,-0.6394426335979182,2.5871785751053897e-05,0.11343549419859929,0.11359710548196716,0.00038316359164689907,49.197686698989855,49.19755344391933,0.002368749094770277,0.05779984437795834,0.05808017230094111,-0.6394774032970485,-0.6394280649344546,49.19539429630377,49.20003240370416
phase1_lqr,Phase 1 LQR,gain_scheduled_lqr,level_1,1,3,3,1.0,0.038801433516896376,0.03845512252261365,0.0007480106194232384,-0.6392611346040541,-0.6392051788439648,7.979253383036053e-05,0.10993559489637585,0.10993959531439144,0.0004938185607988895,49.20100053872761,49.2045437465365,0.005930219396089284,0.03817818429706452,0.039563207134441315,-0.6393402173749584,-0.6392044341371855,49.19502552007666,49.20555827425501
phase1_lqr,Phase 1 LQR,gain_scheduled_lqr,level_2,2,3,3,1.0,0.027296136882055132,0.02695042405913304,0.0012772956101978498,-0.6388948246469913,-0.638941867253179,0.000189367068364722,0.08604207887777826,0.08587428502312261,0.000603636258704754,49.206180481120704,49.202945396978066,0.011614267515243363,0.026136924293619974,0.028593634599659124,-0.6390680722175089,-0.6387027600339985,49.19567079627704,49.21798419962143
phase1_lqr,Phase 1 LQR,gain_scheduled_lqr,level_3,3,3,3,1.0,0.058533729597691195,0.05848265507646706,0.0005871000571866298,-0.6382266319530727,-0.6382047482010966,0.00017872869950450357,0.049471081758641684,0.049346502123508496,0.0007085539000282166,49.2305060288708,49.22907456442931,0.012277893737886658,0.05796979566510203,0.05911809333877002,-0.6384054687813576,-0.6380565486255784,49.218803441734735,49.242781201783465
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_0,0,3,0,0.0,17.069120833107732,17.048848213121342,0.5686734606562787,-26.300439035550014,-26.302963651554432,0.005958752353064276,7.237927994554835,7.523130779750236,0.4251336138924391,19.70972779475096,19.70951570911302,0.0031571600251163352,16.516168485798683,17.630182228411336,-26.30550430903825,-26.294363915660014,19.706680331218287,19.71286009253881
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_1,1,3,0,0.0,6.489385806427482,7.154248356118009,1.2324617387618095,-26.29048365936738,-26.290577836434927,0.016015886956854915,9.394976111394536,9.704225064546423,0.7933324525721007,19.660232047535676,19.66422097752934,0.00619355444805934,5.240159203900938,7.472667389077814,-26.30615698863375,-26.274772659273985,19.654031654570325,19.664836868503563
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_2,2,3,0,0.0,10.03280629679988,10.62596376973324,1.2016948938402865,-28.163581042596824,-28.2039467409472,0.08031399257809217,24.984781592584994,24.664468998034373,0.5013292976565984,19.26921045037572,19.267129668701273,0.0032456410727735984,8.810804232063662,11.017545372362752,-28.229062079545688,-28.08195372630781,19.2667920722879,19.272461141133316
phase2a_flat_ppo,Phase 2A Flat PPO,flat_ppo,level_3,3,3,0,0.0,23.58295795638976,23.72560459830681,1.0726869669684258,-34.72825625103309,-34.76322258724344,0.22762493573878123,59.98627833513374,60.03938576126883,0.15383469731079877,18.069786256074167,18.069596567259396,0.0005417333528883495,22.508071153237967,24.60078610277473,-34.94296936050277,-34.49955660707927,18.069309932484977,18.070338455189265
phase2b_hierarchical_ppo,Phase 2B Hierarchical PPO,hierarchical_ppo,level_0,0,3,0,0.0,12.577350293842775,12.989266609773292,0.953104387276581,-8.687023970657817,-8.503094217525007,0.47437700788147213,10.202467076321721,9.670347327449345,1.1867803039423837,43.7295820774137,43.963651512031674,0.5029639410162714,11.605794589852447,13.384139471460898,-9.170792840220123,-8.276827002348638,43.21741312517183,44.14812325580838
phase2b_hierarchical_ppo,Phase 2B Hierarchical PPO,hierarchical_ppo,level_1,1,3,0,0.0,28.715069841577368,27.8952640823297,1.2865669621084581,-11.374693438198488,-11.171634754084941,0.5709150315634344,25.41847400182861,25.70516612460814,1.4331890195359276,40.87440184944959,40.95153047547274,0.4775078438004968,27.753666495017825,30.004395491835982,-11.956705633389483,-10.87390471665291,40.39417750626262,41.32377474222731
phase2b_hierarchical_ppo,Phase 2B Hierarchical PPO,hierarchical_ppo,level_2,2,3,0,0.0,66.14564381772331,66.32167915317203,0.8774747085158904,-16.2550995614168,-16.12324936074716,0.3269511083201792,31.527920715764367,31.76687275324627,1.0809442943049907,35.01245009099648,35.16599708829699,0.22295094165755022,65.25938508437298,66.96148841689414,-16.588514546049968,-15.974424657051486,34.79094752890169,35.17253385417107
phase2b_hierarchical_ppo,Phase 2B Hierarchical PPO,hierarchical_ppo,level_3,3,3,0,0.0,65.56512159454036,65.42914217385034,0.8791275394913596,-32.18998356358189,-32.181562166593565,0.02054436422184509,47.99993322363608,48.46119035686376,0.710783786119138,27.25129035426903,27.251687239235935,0.003995647950700746,64.73611935435439,66.44851560300232,-32.210933005843025,-32.17240268011609,27.2473057262006,27.255116228350698
phase2c_hybrid_ppo,Phase 2C Hybrid PPO,hybrid_residual_ppo,level_0,0,3,3,1.0,0.057126176155119925,0.05715670005551068,0.0005352936336287907,-1.7658357843493984,-1.7710497368760514,0.0075513249988381995,0.08117072669723992,0.08116966794642715,0.0005731026535689342,47.75237553164607,47.749036541883925,0.004740891557921712,0.05659601938987452,0.05764412336020903,-1.7712499795504528,-1.7583360081376824,47.74901523310136,47.75707142609563
phase2c_hybrid_ppo,Phase 2C Hybrid PPO,hybrid_residual_ppo,level_1,1,3,3,1.0,0.03950556042545395,0.03948270527978135,0.00012817366352536522,-1.757202985763554,-1.7584998547653168,0.015592242942955999,0.07560118813489712,0.0756016320720013,0.0005064488218954864,47.57293692645226,47.57195277100618,0.009556001348686036,0.039385549687012036,0.039634713222164906,-1.7721943831296953,-1.7416928407967076,47.563795686778576,47.58247182830437
