run_id,group,scenario,description,success,failure_modes,yaw_excluded_from_success_criteria,touchdown_time_s,vertical_touchdown_velocity_mps,horizontal_touchdown_velocity_mps,touchdown_speed_mps,tilt_angle_deg,angular_rate_norm_radps,landing_position_error_m,fuel_used_kg,final_mass_kg,fuel_margin_kg,max_dynamic_pressure_pa,saturation_fraction,oscillation_count,final_altitude_m,seed,duration_s,requested_duration_s,termination_reason,touchdown_detected,final_downrange_error_m,final_speed_mps
mass_sweep__mass_950kg,mass_sweep,mass_950kg,Mass sweep initial mass 950 kg.,True,none,True,9.540000000000001,-0.6697730775161392,0.045396759226998644,0.6713097951868082,0.1223991332641431,0.0019762897750577714,0.05695923332225797,37.40528156234666,912.5947184376533,62.59471843765334,332.29852748213904,0.15271966527196654,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.05695923332225797,0.6713097951868082
mass_sweep__mass_1050kg,mass_sweep,mass_1050kg,Mass sweep initial mass 1050 kg.,True,none,True,9.540000000000001,-0.6594590023967442,0.043693345385538096,0.6609048980549993,0.11926627539663721,0.001969676343258953,0.05360863043513972,41.32137718007789,1008.6786228199221,158.6786228199221,331.05287376318995,0.14225941422594143,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.05360863043513972,0.6609048980549993
mass_sweep__mass_1150kg,mass_sweep,mass_1150kg,Mass sweep initial mass 1150 kg.,True,none,True,9.540000000000001,-0.6595977645383532,0.041839622357399235,0.6609234183950532,0.11521832421372881,0.001954219733198546,0.05017832525179764,45.20958964814622,1104.7904103518538,254.79041035185378,328.3772664279802,0.12761506276150628,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.05017832525179764,0.6609234183950532
mass_sweep__mass_1250kg,mass_sweep,mass_1250kg,Mass sweep initial mass 1250 kg.,True,none,True,9.540000000000001,-0.6542858510416673,0.04010331709429201,0.6555137305314696,0.11121061354571216,0.0019356172397300838,0.047026087539138284,49.145897643029684,1200.8541023569703,350.8541023569703,325.87725504790006,0.14853556485355648,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.047026087539138284,0.6555137305314696
mass_sweep__mass_1350kg,mass_sweep,mass_1350kg,Mass sweep initial mass 1350 kg.,True,none,True,9.5,-0.7043745801732588,0.04017629766024203,0.7055194427426781,0.11236996277742267,0.0019483879816359947,0.04684512498982152,52.87085815414889,1297.129141845851,447.1291418458511,326.96103276890256,0.20588235294117646,0.0,0.0,7.0,9.5,45.0,touchdown,True,0.04684512498982152,0.7055194427426781
disturbance_sweep__wind_0mps,disturbance_sweep,wind_0mps,Disturbance sweep steady crosswind 0 m/s.,True,none,True,9.540000000000001,-0.6547023605746021,0.03755114630536673,0.6557783692153952,0.11415494507582553,0.0020551679517345537,0.05817080200904978,49.14177013377571,1200.8582298662243,350.8582298662243,322.1457677709441,0.14644351464435146,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.05817080200904978,0.6557783692153952
disturbance_sweep__wind_2mps,disturbance_sweep,wind_2mps,Disturbance sweep steady crosswind 2 m/s.,True,none,True,9.540000000000001,-0.6547328351967293,0.04012540539301063,0.6559612287648569,0.10748221701712281,0.0019256403423131457,0.06515807770828067,49.13416479281659,1200.8658352071834,350.8658352071834,326.79005338371627,0.14644351464435146,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.06515807770828067,0.6559612287648569
disturbance_sweep__wind_5mps,disturbance_sweep,wind_5mps,Disturbance sweep steady crosswind 5 m/s.,True,none,True,9.540000000000001,-0.6550188930668803,0.04251925811570462,0.6563974692099834,0.07632321209977672,0.0017630899882070715,0.08232811764813865,49.11229440175043,1200.8877055982496,350.88770559824957,342.7186736029138,0.14644351464435146,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.08232811764813865,0.6563974692099834
disturbance_sweep__wind_8mps,disturbance_sweep,wind_8mps,Disturbance sweep steady crosswind 8 m/s.,True,none,True,9.540000000000001,-0.6554926409671797,0.04399596793636561,0.6569674630883828,0.0880456395900351,0.001575508310837777,0.11091202975917923,49.081403666261394,1200.9185963337386,350.9185963337386,379.8379890498165,0.14853556485355648,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.11091202975917923,0.6569674630883828
disturbance_sweep__misalign_0p00deg,disturbance_sweep,misalign_0p00deg,Disturbance sweep fixed thrust misalignment 0.00 deg.,True,none,True,9.540000000000001,-0.6547023605746021,0.03755114630536673,0.6557783692153952,0.11415494507582553,0.0020551679517345537,0.05817080200904978,49.14177013377571,1200.8582298662243,350.8582298662243,322.1457677709441,0.14644351464435146,0.0,0.0,7.0,9.540000000000001,45.0,touchdown,True,0.05817080200904978,0.6557783692153952
