time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,p_radps,q_radps,r_radps,mass_kg,throttle,gimbal_pitch_rad,gimbal_yaw_rad,tilt_deg,dynamic_pressure_pa
0.0,12.0,-8.0,120.0,-1.0,0.6,-18.0,0.999011461133737,0.03487207852388615,-0.02615405889291461,0.008718019630971538,1.8452300362238613e-05,0.004481183062627048,-0.0041120678304332635,1250.0,0.13101736111111106,0.13962634015954636,-0.13962634015954636,4.996640508364582,200.69068765720968
0.02,11.980044499694433,-7.988085249621182,119.63842919220704,-0.9955498720326726,0.591475799992947,-18.15707378548451,0.9990135670787549,0.03481202680262085,-0.026167956040222092,0.008674886693941283,-0.012278698796585103,-0.007439887801968969,-0.0040987726190681376,1249.9831247360405,0.1310081672329273,0.13962634015954636,-0.13962634015954636,4.9920894723478,204.1212184836565
0.04,11.96017798119615,-7.97634090846298,119.27371733958057,-0.9911033310491151,0.5829605296331792,-18.31410392184138,0.9990168034983483,0.03463023318552942,-0.02630191719135051,0.00862452488649776,-0.024559759119219593,-0.019340958805314307,-0.004085295191991351,1249.9662506562686,0.13099897399990523,0.13962634015954636,-0.13962634015954636,4.984715849864578,207.5811175126322
0.06,11.940400282119102,-7.96476671086114,118.90586534872978,-0.9866694386657425,0.5744628945949902,-18.47108705016007,0.9990210547478471,0.034326852449583264,-0.026555728280747145,0.008566952018232222,-0.03682373947077097,-0.031221017570773144,-0.0040716357203198356,1249.949377760601,0.1309897814119998,0.13962634015954636,-0.13962634015954636,4.9748091452634915,211.0703282577892
0.08,11.920711059024216,-7.953362217118025,118.53487419317331,-0.982257238663004,0.5659915929032066,-18.62801984057911,0.9990261179231925,0.03390204639382336,-0.026929162543045115,0.008502185739958399,-0.04906962094354839,-0.043079023273782796,-0.004057794427736019,1249.9325060489548,0.13098058946916558,0.13962634015954636,-0.13962634015954636,4.962887531975643,214.58879184988646
0.1,11.901109787770636,-7.942126813634193,118.16074491262812,-0.9778757575225037,0.5575553170618671,-18.784899005293358,0.9990317033569174,0.03335598428000398,-0.027421980123150568,0.008430243567900914,-0.06129635479952685,-0.05491390654835349,-0.0040437715908658136,1249.915635521247,0.1309713981713575,0.13962634015954636,-0.13962634015954636,4.949701086376703,218.13644737063322
0.12,11.881595763856936,-7.931059712998203,117.78347861203875,-0.9735340048902608,0.5491627560997285,-18.941721311499272,0.9990374351521156,0.032688843327682605,-0.028033927635324966,0.00835114291089834,-0.07350286236800499,-0.06672456941034373,-0.0040295675396131644,1249.8987661773942,0.13096220751853005,0.13962634015954636,-0.13962634015954636,4.936235483522957,221.71323220147062
0.14,11.862168102753927,-7.9201599540364835,117.4030764603484,-0.9692409739500896,0.5408225975164498,-19.09848359427722,0.9990428517560276,0.03190080926291991,-0.02876473767223427,0.008264901100571166,-0.08568803496157562,-0.0785098851986968,-0.004015182657450249,1249.8818980173135,0.13095301751063815,0.13962634015954636,-0.13962634015954636,4.923714932644835,225.31908238710002
0.16,11.842825740231039,-7.909426401825399,117.01953968901296,-0.965005641691303,0.5325435291134533,-19.255182769409313,0.9990474065749413,0.030992076919674958,-0.029614128265018472,0.008171535424400887,-0.09785073381173336,-0.09026869853590296,-0.004000617381662483,1249.8650310409216,0.13094382814763628,0.13962634015954636,-0.13962634015954636,4.913602677975155,228.9539330135549
0.18,11.82356743267853,-7.898857747667984,116.63286959025935,-0.9608369690551808,0.5243342406936172,-19.411815846130793,0.9990504686321748,0.029962850892898397,-0.030581802295519957,0.008071063161662248,-0.10998979002552466,-0.10199982530902918,-0.003985872203547579,1249.8481652481357,0.13093463942947936,0.13962634015954636,-0.13962634015954636,4.907596936961202,232.61771860060637
