time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,p_radps,q_radps,r_radps,mass_kg,throttle,gimbal_pitch_rad,gimbal_yaw_rad,tilt_deg,dynamic_pressure_pa
0.0,12.0,-8.0,120.0,-1.0,0.6,-18.0,0.999011461133737,0.03487207852388615,-0.02615405889291461,0.008718019630971538,1.8452300362238613e-05,0.004481183062627048,-0.0041120678304332635,1150.0,0.07653597222222208,0.13962634015954636,-0.13962634015954636,4.996640508364582,200.69068765720968
0.02,11.980026185636936,-7.988051242704218,119.63829907452215,-0.997380787439402,0.5948759104005816,-18.17008431360994,0.9990133095169398,0.03484085571644131,-0.0261388183293572,0.008676655882421743,-0.006458219044954914,-0.0016584846165060667,-0.004098762932981275,1149.9901420336764,0.07653060146525281,0.13962634015954636,-0.13962634015954636,4.9927266873665195,204.41743692871333
0.04,11.960104784537604,-7.976204946522668,119.27319696140518,-0.9947591690379074,0.5897543796880748,-18.34011853498773,0.9990158006618945,0.03474549596434247,-0.026185417109404172,0.0086315971217497,-0.012927300266713862,-0.007785480068706846,-0.004085256360083562,1149.9802847591156,0.07652523108516562,0.13962634015954636,-0.13962634015954636,4.987196790353709,208.1784937458242
0.06,11.940235815118706,-7.964461030822192,118.90469467621578,-0.992138113565428,0.5846383528407683,-18.51010129269815,0.999018907900882,0.03458607299960278,-0.02629372202681729,0.008582854593420817,-0.01938825967001122,-0.013899251347764022,-0.004071548158182626,1149.9704281762693,0.07651986108193387,0.13962634015954636,-0.13962634015954636,4.980114196909494,211.97381548203467
0.08,11.920419236496306,-7.952819356103164,118.53279326189534,-0.9895205823023202,0.5795307715625314,-18.680031221097035,0.9990225808556202,0.03436266510302173,-0.026463593612840345,0.008530439653842899,-0.025840548245326188,-0.019999230796841877,-0.004057638435228623,1149.9605722850886,0.07651449145553124,0.13962634015954636,-0.13962634015954636,4.97160369169243,215.80335846215493
0.1,11.90065494863645,-7.9412797240629,118.15749378862103,-0.9869095289550839,0.5744345744881768,-18.849906962626626,0.9990267455794167,0.03407535529951388,-0.026694885966898334,0.008474363777050582,-0.032283599560450835,-0.026084834975627143,-0.00404352736113638,1149.9507170855252,0.07650912220593142,0.13962634015954636,-0.13962634015954636,4.961851894171067,219.66707802161335
0.12,11.88094279250759,-7.929841877655112,117.7787973536213,-0.9843078995595845,0.569352697374009,-19.019727170098957,0.9990313047099821,0.03372423156230286,-0.026987446579754007,0.008414638560755023,-0.03871682966078619,-0.03215546459590146,-0.0040292151682148,1149.9408625775304,0.07650375333310766,0.13962634015954636,-0.13962634015954636,4.951107876672829,223.56492856846947
0.14,11.861282550235073,-7.918505501145703,117.39670508094574,-0.9817186323703154,0.5642880732719489,-19.189490508966678,0.9990361376333237,0.033309387025805985,-0.027341116149334554,0.0083512757327511,-0.045139636978340635,-0.03821050446584874,-0.00401470215156791,1149.9310087610559,0.07649838483703375,0.13962634015954636,-0.13962634015954636,4.939683892985111,227.49686364809781
0.16,11.841673945258012,-7.907270220165267,117.01121812118961,-0.9791446577342422,0.5592436326856395,-19.359195659580642,0.9990411006591373,0.03283092020702174,-0.02775572838945404,0.008284287157673719,-0.05155140224978133,-0.0442493234434194,-0.003999988669466906,1149.9211556360528,0.07649301671768305,0.13962634015954636,-0.13962634015954636,4.927956109993773,231.46283601050158
0.18,11.822116642488831,-7.89613560175865,116.62233765117351,-0.9765888979477967,0.5542223037069526,-19.528841319433464,0.9990460272081212,0.0322889352352181,-0.02823110983167065,0.008213684844094188,-0.05795148844390363,-0.05027127439908577,-0.003985075143692491,1149.911303202473,0.07648764897502947,0.13962634015954636,-0.13962634015954636,4.916365202445131,235.46279768020779
0.2,11.802610248475858,-7.885101154432002,116.23006487357814,-0.9740542670956163,0.5492270121313381,-19.698426205388298,0.9990507280116404,0.03168354208970552,-0.028767079620531866,0.008139480951946958,-0.06433924069889708,-0.05627569418833499,-0.003969962059846909,1149.9014514602677,0.07648228160904624,0.13962634015954636,-0.13962634015954636,4.905416636405462,239.4967000286969
0.22,11.783154311569337,-7.874166328197734,115.83440101653483,-0.9715436708696538,0.5442606815504762,-19.867949055891952,0.9990549913241651,0.031014856845463,-0.029363449302474604,0.008061687800276322,-0.07071398626980034,-0.062261903634257564,-0.0039546499676350304,1149.8916004093885,0.07647691461970718,0.13962634015954636,-0.13962634015954636,4.895680431882431,243.5644938493133
0.24,11.763748322091265,-7.863330514617869,115.43534733317176,-0.9690600063673165,0.5393262334207156,-20.03740863317143,0.9990585831489125,0.030283001926370113,-0.030020022608662586,0.007980317875291928,-0.07707503448655062,-0.06822920752060116,-0.00393913948111393,1149.881750049787,0.07647154800698563,0.13962634015954636,-0.13962634015954636,4.887790162104266,247.6661294346073
